DateTime,AddedIPs,RemovedIPs
1587612179,469,0
1587633860,447,0
1587655068,152,0
1588182701,3676,0
1588204286,1413,0
1588225886,213,0
1588247486,527,0
1588265514,552,0
1588283502,618,0
1588305200,496,0
1588317468,229,0
1588359019,812,0
1588380709,458,1
1588387898,20,0
1588409415,304,0
1588429193,520,0
1588449024,443,0
1588470657,469,0
1588492200,286,0
1588512021,512,0
1588533657,447,0
1588553478,466,0
1588575103,454,0
1588596678,470,0
1588618333,424,0
1588639909,47,0
1588660488,408,0
1588679583,516,0
1588701046,484,0
1588715548,441,0
1588737189,12,0
1588759019,860,0
1588780248,480,0
1588819881,613,0
1588841613,481,0
1588863248,661,0
1588884772,536,0
1588902357,427,0
1588922610,456,0
1588944161,478,0
1588965690,490,0
1588987370,422,0
1588994504,17,0
1589016136,544,0
1589037712,466,0
1589059516,426,0
1589080685,188,0
1589102513,633,0
1589124104,179,0
1589145653,300,0
1589165736,644,0
1589185891,526,0
1589207491,678,0
1589226745,774,0
1589248496,671,0
1589269925,821,0
1589289982,274,0
1589311443,478,0
1589333278,439,0
1589351218,767,0
1589388416,574,0
1589430857,1277,0
1589470430,2634,0
1589490321,1830,0
1589511053,61,0
1589549378,1983,0
1589570678,1257,0
1589592136,1073,0
1589610202,771,0
1589631943,985,0
1589653382,812,0
1589674983,858,0
1589696619,818,0
1589718374,202,0
1589740309,1086,0
1589761344,287,0
1589777717,739,0
1589819481,1287,0
1589838820,1022,0
1589856769,4,0
1589878418,1146,0
1589899994,212,0
1589910831,826,0
1589932457,715,0
1589950856,462,0
1589971544,678,0
1590008074,586,0
1590022587,588,0
1590043955,612,0
1590063836,231,0
1590085438,321,0
1590105277,622,0
1590123781,581,0
1590144517,685,0
1590164686,639,0
1590184482,564,0
1590206099,225,0
1590227622,308,0
1590249223,946,0
1590285323,825,0
1590306854,410,0
1590328474,566,1
1590348271,531,0
1590369863,545,0
1590391544,583,0
1590413053,616,0
1590454733,549,0
1590474460,440,0
1590495870,575,0
1590517495,449,0
1590539228,350,0
1590560737,204,0
1590578744,520,0
1590600279,532,0
1590621528,389,0
1590641680,336,0
1590677598,621,0
1590698281,442,1
1590717269,439,0
1590738977,467,0
1590760428,472,0
1590782051,432,0
1590802135,99,0
1590823522,295,0
1590843265,514,0
1590863060,392,0
1590883074,380,0
1590904469,193,0
1590924298,544,0
1590945877,481,0
1590972867,378,0
1590994510,365,0
1591016098,535,0
1591037740,446,0
1591059358,474,0
1591080902,341,0
1591102508,205,0
1591106045,188,0
1591149267,718,0
1591170863,125,0
1591192394,360,0
1591212292,352,0
1591232129,379,0
1591248307,168,0
1591269867,510,1
1591291487,437,0
1591312931,501,0
1591334827,493,0
1591356240,515,0
1591376116,53,0
1591394150,647,0
1591411006,634,0
1591431953,695,0
1591453516,608,0
1591475160,569,0
1591496724,499,0
1591518339,641,0
1591539989,390,0
1591561492,28,0
1591583170,429,0
1591588524,209,0
1591610082,670,0
1591631801,575,0
1591653354,17,0
1591673203,538,0
1591694789,441,0
1591716383,733,0
1591737917,610,0
1591759728,644,0
1591781261,609,0
1591802786,539,0
1591824419,524,0
1591846042,518,0
1591867574,669,0
1591889292,460,0
1591910723,503,0
1591930563,80,0
1591952176,165,0
1591973791,719,0
1591995480,271,0
1592015924,325,0
1592037816,1006,0
1592059212,355,0
1592080097,323,0
1592099613,587,0
1592117759,405,0
1592139357,549,0
1592160979,459,0
1592182671,423,0
1592204142,436,0
1592225752,163,0
1592245729,242,0
1592267198,334,0
1592288809,2,0
1592310390,604,0
1592330197,358,0
1592351834,397,0
1592373399,155,0
1592394918,496,1
1592416637,438,0
1592438288,407,0
1592459823,317,0
1592481342,434,0
1592502932,430,0
1592524605,71,0
1592546103,274,0
1592567765,403,0
1592589475,415,0
1592611074,370,0
1592632675,373,0
1592654185,479,0
1592675739,329,0
1592697426,419,0
1592719010,162,0
1592740535,509,0
1592762198,394,0
1592783887,328,0
1592805401,1642,0
1592827030,856,0
1592848633,617,0
1592870384,173,0
1592891865,415,0
1592913451,962,0
1592935040,679,0
1592956761,550,0
1592978303,428,0
