DateTime,AddedIPs,RemovedIPs
1591201458,1,0
1591203380,1,0
1591205315,1,0
1591213933,1,0
1591219697,2,0
1591221719,2,0
1591223551,1,0
1591241066,1,0
1591254742,2,0
1591260505,0,1
1591264333,0,1
1591266271,1,0
1591288569,0,1
1591290510,0,2
1591292413,1,0
1591300089,0,1
1591302022,1,0
1591307781,1,1
1591309757,1,1
1591312825,1,0
1591332265,0,2
1591339935,0,1
1591341901,0,1
1591356492,1,0
1591359626,0,1
1591379067,0,1
1591395623,0,1
1591399452,0,1
1591405364,0,1
1591413133,0,1
1591428739,0,1
1591430660,0,1
1591444104,1,0
1591490653,1,0
1591527397,1,0
1591578241,0,1
1591582358,1,0
1591605633,0,1
1591613299,0,1
1591620984,1,0
1591622917,6,0
1591631293,1,0
1591638987,10,0
1591640892,1,0
1591642921,1,0
1591644754,1,0
1591654370,1,0
1591656253,1,0
1591686159,0,1
1591699939,1,0
1591709540,0,1
1591713386,2,1
1591719148,1,1
1591721053,1,0
1591728735,0,2
1591736547,0,1
1591740728,0,5
1591742683,0,2
1591744576,0,1
1591746496,0,2
1591752261,2,0
1591756094,0,2
1591761893,0,2
1591769534,0,1
1591777226,1,0
1591799304,1,1
1591804089,0,1
1591806013,0,1
1591807945,1,1
1591823309,2,0
1591825236,1,0
1591827132,1,0
1591829064,1,0
1591838660,0,1
1591842496,0,1
1591845377,0,3
1591847294,1,0
1591864814,0,1
1591868892,1,0
1591878496,1,0
1591880644,1,0
1591890255,1,0
1591894110,2,0
1591896015,1,0
1591906821,2,0
1591908751,1,1
1591910681,0,1
1591920506,1,0
1591924357,0,1
1591926257,1,0
1591932010,0,1
1591933965,1,0
1591946414,0,1
1591952213,0,2
1591967069,2,0
1591982652,0,1
1591989373,1,0
1591998982,1,0
1592008956,0,1
1592012920,0,1
1592016739,0,1
1592022509,0,1
1592024552,0,1
1592026373,0,2
1592030175,0,1
1592039777,0,1
1592043642,0,1
1592045535,0,1
1592047454,1,0
1592053354,0,1
1592060921,1,0
1592070512,0,1
1592076272,0,1
1592078198,1,0
1592082973,4,0
1592084918,1,0
1592088729,1,1
1592090667,2,0
1592097376,0,1
1592105068,1,0
1592132169,1,0
1592140188,0,2
1592142648,5,0
1592161946,1,1
1592167706,0,1
1592169610,0,1
1592171539,2,0
1592175370,3,0
1592184252,0,1
1592186170,0,2
1592188105,1,0
1592190985,0,1
1592192890,0,1
1592194813,1,0
1592206353,1,0
1592215946,0,1
1592219777,0,1
1592221773,1,1
1592223627,1,1
1592237782,1,0
1592239695,1,0
1592241641,1,0
1592243542,0,1
1592245468,0,4
1592247427,5,0
1592249300,4,0
1592251454,2,0
1592253381,1,0
1592261070,2,1
1592262975,1,0
1592264892,3,1
1592268730,2,0
1592272593,1,0
1592278573,1,0
1592282416,0,1
1592290351,0,1
1592292276,0,1
1592302815,0,1
1592306676,0,1
1592308577,0,2
1592322532,1,0
1592324424,0,2
1592328276,0,1
1592336440,0,2
1592344090,0,1
1592346032,1,0
1592353943,1,2
1592355897,0,2
1592357917,1,0
1592359960,0,1
1592361865,2,5
1592363771,0,3
1592365716,0,2
1592369532,0,1
1592371482,0,3
1592412261,1,0
1592414173,2,0
1592416129,2,0
1592421911,2,0
1592423780,1,0
1592425694,1,0
1592427791,1,0
1592429933,1,0
1592433880,0,1
1592435779,2,0
1592437696,1,0
1592441555,1,0
1592451390,0,2
1592453313,0,1
1592455213,0,1
1592461219,1,0
1592478749,1,0
1592482576,1,0
1592484508,0,1
1592490294,2,0
1592498188,1,0
1592505853,1,1
1592507784,0,1
1592509711,0,1
1592511611,0,2
1592513633,0,1
1592517372,0,2
1592519204,1,1
1592521414,2,0
1592529183,0,1
1592540698,0,2
1592544501,0,1
1592547626,0,1
1592561345,1,0
1592568970,0,1
1592572830,0,2
1592574736,0,1
1592576672,1,1
1592585296,0,1
1592594896,1,0
1592596961,2,0
1592616049,0,1
1592621788,0,2
1592623699,0,1
1592625743,0,1
1592639566,0,1
1592649156,0,1
1592669126,1,0
1592680593,1,0
1592682525,1,1
1592692097,1,0
1592694982,1,0
1592698872,1,0
1592722148,1,0
1592725979,0,1
1592729775,0,2
1592738656,1,0
1592752123,1,0
1592755931,0,1
1592767475,1,1
1592769374,3,0
1592773338,1,0
1592782811,1,0
1592784755,0,1
1592788593,1,0
1592794217,1,0
1592804911,0,1
1592806811,0,1
1592808754,0,1
1592820163,1,0
1592826987,0,1
1592828887,0,1
1592835637,1,0
1592839456,0,1
1592843293,1,0
1592845266,1,0
1592856736,1,1
1592860584,0,1
1592862493,0,1
1592866350,1,0
1592868278,2,0
1592872139,1,0
1592874995,0,1
1592880733,0,1
1592884568,0,1
1592898787,0,1
1592902599,0,1
1592904492,0,1
1592912410,0,1
1592922295,0,1
1592924172,1,1
1592926097,2,0
1592929952,1,0
1592943851,0,1
1592947693,1,0
1592957394,0,1
1592959211,3,0
1592976260,0,1
